,fighter_name,Height_cm,Weight_kg,Reach_cm,Stance,SLpM,Str_Acc%,Strikes_absorbed/m,Str_Def%,TD_Avg,TD_Def%,Sub_Avg,weight_class,TD_Acc
0,Felice Herrig,162.56,52,65,Orthodox,3.63,36.0,4.84,49.0,1.18,72.0,0.9,Straw Weight,30.0
1,Tecia Torres,154.94,52,60,Southpaw,4.3,47.0,3.37,62.0,0.68,56.0,0.1,Straw Weight,15.0
2,Loma Lookboonmee,154.94,52,61,Southpaw,5.16,55.0,3.09,59.0,0.67,72.0,0.0,Straw Weight,25.0
3,Amanda Lemos,162.56,52,65,Southpaw,6.21,64.0,5.39,45.0,1.98,100.0,0.5,Straw Weight,100.0
4,Carla Esparza,154.94,52,63,Orthodox,2.29,42.0,2.85,53.0,3.44,48.0,0.3,Straw Weight,35.0
5,Cheyanne Buys,160.02,52,63,Switch,4.1,53.0,1.67,65.0,0.0,60.0,0.0,Straw Weight,43.37
6,Emily Kagan,160.02,52,63,Orthodox,2.6,36.0,5.29,38.0,1.86,50.0,0.0,Straw Weight,14.0
7,Marina Rodriguez,167.64000000000001,52,65,Southpaw,4.86,50.0,3.16,53.0,0.36,59.0,0.2,Straw Weight,33.0
8,Hilarie Rose,160.02,52,63,Orthodox,2.33,33.0,6.13,44.0,0.0,100.0,0.0,Straw Weight,43.37
9,Jocelyn Jones-Lybarger,170.18,52,64,Orthodox,2.96,31.0,4.83,56.0,0.34,81.0,0.0,Straw Weight,25.0
10,Tyra Parker,165.1,52,63,Orthodox,1.5,22.0,9.0,14.0,0.0,63.75,0.0,Straw Weight,43.37
11,Kali Robbins,160.02,52,63,Orthodox,3.73,46.0,9.4,44.0,2.0,63.75,0.0,Straw Weight,33.0
12,Jamie Moyle,154.94,52,65,Southpaw,4.51,51.0,4.0,65.0,1.0,50.0,0.0,Straw Weight,21.0
13,Joanna Jedrzejczyk,167.64000000000001,52,65,Southpaw,6.3,48.0,3.08,64.0,0.28,81.0,0.1,Straw Weight,62.0
14,Virna Jandiroba,160.02,52,64,Orthodox,2.39,46.0,3.08,54.0,3.16,73.0,2.0,Straw Weight,53.0
15,Livinha Souza,160.02,52,63,Orthodox,2.06,45.0,3.38,62.0,2.4,40.0,1.2,Straw Weight,44.0
16,Cristina Stanciu,160.02,52,63,Orthodox,2.5,50.0,3.07,52.0,0.85,40.0,1.7,Straw Weight,100.0
17,Izabela Badurek,165.1,52,63,Orthodox,3.74,71.0,4.9,32.0,1.75,100.0,0.0,Straw Weight,12.0
18,Danielle Taylor,152.4,52,60,Orthodox,2.75,29.0,3.31,71.0,0.2,70.0,0.2,Straw Weight,20.0
19,Stephanie Frausto,157.48000000000002,52,61,Orthodox,1.43,21.0,3.57,60.0,0.0,63.75,0.0,Straw Weight,43.37
20,Chan-Mi Jeon,165.1,52,63,Orthodox,6.23,31.0,7.77,55.0,0.0,63.75,0.0,Straw Weight,43.37
21,Jinh Yu Frey,160.02,52,65,Southpaw,1.79,40.0,3.35,44.0,1.06,83.0,0.7,Straw Weight,42.0
22,Amber Tackett,161.41,52,63,Orthodox,0.0,43.89,0.0,51.86,0.0,63.75,0.0,Straw Weight,43.37
23,Sam Hughes,165.1,52,64,Orthodox,4.0,37.0,10.4,49.0,0.0,63.75,0.0,Straw Weight,43.37
24,Claudia Gadelha,162.56,52,63,Orthodox,3.31,41.0,4.57,57.0,3.03,58.0,0.7,Straw Weight,42.0
25,Angela Hill,160.02,52,64,Southpaw,5.66,50.0,4.98,64.0,0.45,76.0,0.1,Straw Weight,36.0
26,Poliana Botelho,172.72,52,67,Orthodox,3.0,56.0,3.08,50.0,0.89,80.0,0.0,Straw Weight,100.0
27,Kailin Curran,162.56,52,65,Orthodox,3.89,43.0,4.75,53.0,2.0,61.0,0.6,Straw Weight,57.0
28,Maia Stevenson,162.56,52,62,Orthodox,1.57,54.0,3.13,33.0,3.91,50.0,0.0,Straw Weight,100.0
29,Tatiana Suarez,165.1,52,66,Southpaw,4.82,65.0,1.45,48.0,6.47,100.0,0.6,Straw Weight,62.0
30,Ericka Almeida,167.64000000000001,52,63,Orthodox,1.07,39.0,3.33,43.0,0.5,37.0,0.0,Straw Weight,33.0
31,Maiara Amanajas dos Santos,165.1,52,63,Southpaw,5.53,35.0,24.47,33.0,0.0,100.0,0.0,Straw Weight,43.37
32,Seo Hee Ham,157.48000000000002,52,62,Southpaw,4.2,39.0,5.15,61.0,0.0,66.0,0.2,Straw Weight,43.37
33,Kay Hansen,157.48000000000002,52,63,Southpaw,3.57,59.0,3.03,54.0,2.19,100.0,1.6,Straw Weight,25.0
34,Emily Whitmire,165.1,52,63,Orthodox,2.71,30.0,3.08,54.0,1.1,70.0,0.6,Straw Weight,50.0
35,Michelle Waterson,160.02,52,62,Orthodox,3.58,49.0,4.0,49.0,1.52,67.0,0.9,Straw Weight,34.0
36,Alex Chambers,160.02,52,63,Southpaw,2.97,54.0,5.1,50.0,2.31,53.0,1.0,Straw Weight,41.0
37,Sarah Payant,162.56,52,63,Orthodox,0.29,16.0,2.06,30.0,0.0,63.75,0.0,Straw Weight,43.37
38,Jessica Penne,165.1,52,67,Orthodox,2.46,33.0,4.73,48.0,1.58,20.0,0.6,Straw Weight,25.0
39,Juliana Lima,165.1,52,65,Orthodox,1.94,44.0,2.11,55.0,1.72,70.0,0.0,Straw Weight,31.0
40,Lisa Ellis,162.56,52,63,Orthodox,1.68,48.0,2.32,57.0,4.19,50.0,0.6,Straw Weight,63.0
41,Anna Elmose,160.02,52,63,Orthodox,3.68,49.0,4.64,56.0,0.0,33.0,0.0,Straw Weight,43.37
42,Aisling Daly,157.48000000000002,52,64,Southpaw,2.92,52.0,1.4,55.0,2.15,33.0,0.9,Straw Weight,41.0
43,Hannah Cifers,154.94,52,62,Orthodox,4.99,44.0,5.39,52.0,0.26,64.0,0.3,Straw Weight,100.0
44,Viviane Pereira,154.94,52,63,Orthodox,2.7,30.0,4.48,58.0,0.25,28.0,0.2,Straw Weight,100.0
